time,.data
1970/01/01/01:00:05.807000,0.0
1970/01/01/01:00:05.822000,0.0
1970/01/01/01:00:05.841000,0.0
1970/01/01/01:00:05.864000,0.0
1970/01/01/01:00:05.881000,0.0
1970/01/01/01:00:05.901000,0.0
1970/01/01/01:00:05.921000,0.0
1970/01/01/01:00:05.941000,0.0
1970/01/01/01:00:05.961000,0.0
1970/01/01/01:00:05.980000,0.0
1970/01/01/01:00:06.001000,0.0
1970/01/01/01:00:06.021000,0.0
1970/01/01/01:00:06.041000,0.0
1970/01/01/01:00:06.061000,0.0
1970/01/01/01:00:06.081000,0.0
1970/01/01/01:00:06.100000,0.0
1970/01/01/01:00:06.121000,0.0
1970/01/01/01:00:06.141000,0.0
1970/01/01/01:00:06.161000,0.0
1970/01/01/01:00:06.182000,0.0
1970/01/01/01:00:06.201000,0.0
1970/01/01/01:00:06.221000,0.0
1970/01/01/01:00:06.241000,0.0
1970/01/01/01:00:06.261000,0.0
1970/01/01/01:00:06.281000,0.0
1970/01/01/01:00:06.301000,0.0
1970/01/01/01:00:06.321000,0.0
1970/01/01/01:00:06.341000,0.0
1970/01/01/01:00:06.362000,0.0
1970/01/01/01:00:06.387000,0.0
1970/01/01/01:00:06.402000,0.0
1970/01/01/01:00:06.421000,0.0
1970/01/01/01:00:06.440000,0.0
1970/01/01/01:00:06.464000,0.0
1970/01/01/01:00:06.480000,0.0
1970/01/01/01:00:06.501000,0.0
1970/01/01/01:00:06.523000,0.0
1970/01/01/01:00:06.542000,0.0
1970/01/01/01:00:06.561000,0.0
1970/01/01/01:00:06.580000,0.0
1970/01/01/01:00:06.601000,0.0
1970/01/01/01:00:06.622000,0.0
1970/01/01/01:00:06.642000,0.0
1970/01/01/01:00:06.661000,0.0
1970/01/01/01:00:06.681000,0.0
1970/01/01/01:00:06.701000,0.0
1970/01/01/01:00:06.730000,0.0
1970/01/01/01:00:06.741000,0.0
1970/01/01/01:00:06.761000,0.0
1970/01/01/01:00:06.781000,0.0
1970/01/01/01:00:06.801000,0.0
1970/01/01/01:00:06.822000,0.0
1970/01/01/01:00:06.840000,0.0
1970/01/01/01:00:06.860000,0.0
