time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.position,.velocity,.acceleration
1970/01/01/01:00:00.612000,1,0,612000000,,2.0,0.0,0.0
1970/01/01/01:00:00.631000,2,0,631000000,,2.0,0.0,0.0
1970/01/01/01:00:00.652000,3,0,652000000,,2.0,0.0,0.0
1970/01/01/01:00:00.671000,4,0,671000000,,2.0,0.0,0.0
1970/01/01/01:00:00.691000,5,0,691000000,,2.0,0.0,0.0
1970/01/01/01:00:00.711000,6,0,711000000,,2.0,0.0,0.0
1970/01/01/01:00:00.733000,7,0,732000000,,2.0,0.0,0.0
1970/01/01/01:00:00.751000,8,0,751000000,,2.0,0.0,0.0
1970/01/01/01:00:00.773000,9,0,771000000,,2.0,0.0,0.0
1970/01/01/01:00:00.792000,10,0,791000000,,2.0,0.0,0.0
1970/01/01/01:00:00.812000,11,0,811000000,,2.0,0.0,0.0
1970/01/01/01:00:00.832000,12,0,832000000,,2.0,0.0,0.0
1970/01/01/01:00:00.852000,13,0,852000000,,2.0,0.0,0.0
1970/01/01/01:00:00.871000,14,0,871000000,,2.0,0.0,0.0
1970/01/01/01:00:00.891000,15,0,891000000,,2.0,0.0,0.0
1970/01/01/01:00:00.911000,16,0,911000000,,2.0,0.0,0.0
1970/01/01/01:00:00.932000,17,0,931000000,,2.0,0.0,0.0
1970/01/01/01:00:00.952000,18,0,951000000,,2.0,0.0,0.0
1970/01/01/01:00:00.972000,19,0,972000000,,2.0,0.0,0.0
1970/01/01/01:00:00.992000,20,0,992000000,,2.0,0.0,0.0
1970/01/01/01:00:01.012000,21,1,12000000,,2.0,0.0,0.0
1970/01/01/01:00:01.031000,22,1,31000000,,2.0,0.0,0.0
1970/01/01/01:00:01.051000,23,1,51000000,,2.0,0.0,0.0
1970/01/01/01:00:01.072000,24,1,71000000,,2.0,0.0,0.0
1970/01/01/01:00:01.092000,25,1,91000000,,2.0,0.0,0.0
1970/01/01/01:00:01.112000,26,1,111000000,,2.0,0.0,0.0
1970/01/01/01:00:01.132000,27,1,131000000,,2.0,0.0,0.0
1970/01/01/01:00:01.151000,28,1,151000000,,2.0,0.0,0.0
1970/01/01/01:00:01.172000,29,1,172000000,,2.0,0.0,0.0
1970/01/01/01:00:01.191000,30,1,191000000,,2.0,0.0,0.0
1970/01/01/01:00:01.212000,31,1,211000000,,2.0,0.0,0.0
1970/01/01/01:00:01.233000,32,1,232000000,,2.0,0.0,0.0
1970/01/01/01:00:01.252000,33,1,251000000,,2.0,0.0,0.0
1970/01/01/01:00:01.272000,34,1,272000000,,2.0,0.0,0.0
1970/01/01/01:00:01.292000,35,1,291000000,,2.0,0.0,0.0
1970/01/01/01:00:01.312000,36,1,311000000,,2.0,0.0,0.0
1970/01/01/01:00:01.332000,37,1,332000000,,2.0,0.0,0.0
1970/01/01/01:00:01.352000,38,1,351000000,,2.0,0.0,0.0
1970/01/01/01:00:01.372000,39,1,372000000,,2.0,0.0,0.0
1970/01/01/01:00:01.391000,40,1,391000000,,2.0,0.0,0.0
1970/01/01/01:00:01.411000,41,1,411000000,,2.0,0.0,0.0
1970/01/01/01:00:01.432000,42,1,431000000,,2.0,0.0,0.0
1970/01/01/01:00:01.451000,43,1,451000000,,2.0,0.0,0.0
1970/01/01/01:00:01.473000,44,1,472000000,,2.0,0.0,0.0
1970/01/01/01:00:01.491000,45,1,491000000,,2.0,0.0,0.0
1970/01/01/01:00:01.511000,46,1,511000000,,2.0,0.0,0.0
1970/01/01/01:00:01.532000,47,1,531000000,,2.0,0.0,0.0
1970/01/01/01:00:01.553000,48,1,551000000,,2.0,0.0,0.0
1970/01/01/01:00:01.571000,49,1,571000000,,2.0,0.0,0.0
1970/01/01/01:00:01.592000,50,1,591000000,,2.0,0.0,0.0
1970/01/01/01:00:01.612000,51,1,611000000,,2.0,0.0,0.0
1970/01/01/01:00:01.634000,52,1,633000000,,2.0,0.0,0.0
1970/01/01/01:00:01.653000,53,1,651000000,,2.0,0.0,0.0
1970/01/01/01:00:01.672000,54,1,671000000,,2.0,0.0,0.0
1970/01/01/01:00:01.692000,55,1,692000000,,2.0,0.0,0.0
1970/01/01/01:00:01.715000,56,1,713000000,,2.0,0.0,0.0
1970/01/01/01:00:01.736000,57,1,734000000,,2.0,0.0,0.0
1970/01/01/01:00:01.751000,58,1,751000000,,2.0,0.0,0.0
1970/01/01/01:00:01.774000,59,1,773000000,,2.0,0.0,0.0
1970/01/01/01:00:01.793000,60,1,793000000,,2.0,0.0,0.0
1970/01/01/01:00:01.814000,61,1,812000000,,2.0,0.0,0.0
1970/01/01/01:00:01.833000,62,1,832000000,,2.0,0.0,0.0
1970/01/01/01:00:01.853000,63,1,851000000,,2.0,0.0,0.0
1970/01/01/01:00:01.872000,64,1,872000000,,2.0,0.0,0.0
1970/01/01/01:00:01.892000,65,1,891000000,,2.0,0.0,0.0
1970/01/01/01:00:01.912000,66,1,911000000,,2.0,0.0,0.0
1970/01/01/01:00:01.931000,67,1,931000000,,2.0,0.0,0.0
1970/01/01/01:00:01.952000,68,1,951000000,,2.0,0.0,0.0
1970/01/01/01:00:01.972000,69,1,972000000,,2.0,0.0,0.0
1970/01/01/01:00:01.992000,70,1,991000000,,2.0,0.0,0.0
1970/01/01/01:00:02.011000,71,2,11000000,,2.0,0.0,0.0
1970/01/01/01:00:02.032000,72,2,32000000,,2.0,0.0,0.0
1970/01/01/01:00:02.052000,73,2,51000000,,2.0,0.0,0.0
