time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.position,.velocity,.acceleration
1970/01/01/01:00:00.439000,1,0,438000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.458000,2,0,458000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.478000,3,0,477000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.498000,4,0,498000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.517000,5,0,517000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.538000,6,0,538000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.558000,7,0,558000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.577000,8,0,577000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.598000,9,0,598000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.618000,10,0,618000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.638000,11,0,638000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.658000,12,0,657000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.696000,13,0,696000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.699000,14,0,698000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.719000,15,0,718000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.738000,16,0,737000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.759000,17,0,758000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.782000,18,0,781000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.798000,19,0,797000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.818000,20,0,818000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.837000,21,0,837000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.858000,22,0,857000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.877000,23,0,877000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.898000,24,0,897000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.919000,25,0,917000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.938000,26,0,938000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.958000,27,0,958000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.977000,28,0,977000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:00.998000,29,0,997000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:01.019000,30,1,18000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:01.038000,31,1,37000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:01.058000,32,1,58000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:01.078000,33,1,78000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:01.103000,34,1,103000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:01.118000,35,1,117000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:01.138000,36,1,137000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:01.158000,37,1,157000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:01.178000,38,1,178000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:01.197000,39,1,197000000,,1.57079637051,0.0,0.0
1970/01/01/01:00:01.219000,40,1,217000000,,1.57079637051,0.0,0.0
