time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.fluid_pressure,.variance
1970/01/01/01:00:00.457000,6,0,456000000,map,108189.66742,0.0
1970/01/01/01:00:00.478000,7,0,477000000,map,108257.367526,0.0
1970/01/01/01:00:00.498000,8,0,498000000,map,108421.524944,0.0
1970/01/01/01:00:00.520000,9,0,519000000,map,108322.83191,0.0
1970/01/01/01:00:00.541000,10,0,540000000,map,108379.909934,0.0
1970/01/01/01:00:00.562000,11,0,561000000,map,108392.919826,0.0
1970/01/01/01:00:00.583000,12,0,582000000,map,108293.094086,0.0
1970/01/01/01:00:00.604000,13,0,603000000,map,108214.464744,0.0
1970/01/01/01:00:00.625000,14,0,624000000,map,108259.835788,0.0
1970/01/01/01:00:00.646000,15,0,645000000,map,108484.262094,0.0
1970/01/01/01:00:00.667000,16,0,666000000,map,108358.120181,0.0
1970/01/01/01:00:00.688000,17,0,687000000,map,108192.645383,0.0
1970/01/01/01:00:00.709000,18,0,708000000,map,108333.980783,0.0
1970/01/01/01:00:00.730000,19,0,729000000,map,108183.907516,0.0
1970/01/01/01:00:00.751000,20,0,750000000,map,108236.701663,0.0
1970/01/01/01:00:00.772000,21,0,771000000,map,108351.019353,0.0
1970/01/01/01:00:00.793000,22,0,792000000,map,108397.296619,0.0
1970/01/01/01:00:00.814000,23,0,813000000,map,108502.680156,0.0
1970/01/01/01:00:00.835000,24,0,834000000,map,108371.536595,0.0
1970/01/01/01:00:00.856000,25,0,855000000,map,108237.810321,0.0
1970/01/01/01:00:00.877000,26,0,876000000,map,108465.383296,0.0
1970/01/01/01:00:00.898000,27,0,897000000,map,108317.621226,0.0
1970/01/01/01:00:00.919000,28,0,918000000,map,108284.934015,0.0
1970/01/01/01:00:00.940000,29,0,939000000,map,108345.740161,0.0
1970/01/01/01:00:00.961000,30,0,960000000,map,108225.081227,0.0
1970/01/01/01:00:00.982000,31,0,981000000,map,108314.377614,0.0
1970/01/01/01:00:01.003000,32,1,2000000,map,108350.032247,0.0
1970/01/01/01:00:01.024000,33,1,23000000,map,108299.524233,0.0
1970/01/01/01:00:01.045000,34,1,44000000,map,108424.74923,0.0
1970/01/01/01:00:01.066000,35,1,65000000,map,108225.442572,0.0
1970/01/01/01:00:01.087000,36,1,86000000,map,108153.508725,0.0
1970/01/01/01:00:01.108000,37,1,107000000,map,108181.66873,0.0
1970/01/01/01:00:01.129000,38,1,128000000,map,108214.319966,0.0
1970/01/01/01:00:01.150000,39,1,149000000,map,108246.833528,0.0
1970/01/01/01:00:01.171000,40,1,170000000,map,108396.817918,0.0
1970/01/01/01:00:01.192000,41,1,191000000,map,108289.859184,0.0
1970/01/01/01:00:01.213000,42,1,212000000,map,108396.642674,0.0
1970/01/01/01:00:01.234000,43,1,233000000,map,108243.010368,0.0
1970/01/01/01:00:01.255000,44,1,254000000,map,108294.82535,0.0
1970/01/01/01:00:01.276000,45,1,275000000,map,108431.532165,0.0
1970/01/01/01:00:01.297000,46,1,296000000,map,108424.762521,0.0
1970/01/01/01:00:01.318000,47,1,317000000,map,108159.431765,0.0
1970/01/01/01:00:01.339000,48,1,338000000,map,108262.629655,0.0
1970/01/01/01:00:01.360000,49,1,359000000,map,108313.38488,0.0
1970/01/01/01:00:01.381000,50,1,380000000,map,108294.716914,0.0
1970/01/01/01:00:01.402000,51,1,401000000,map,108357.456912,0.0
1970/01/01/01:00:01.423000,52,1,422000000,map,108438.390472,0.0
1970/01/01/01:00:01.444000,53,1,443000000,map,108210.598048,0.0
1970/01/01/01:00:01.465000,54,1,464000000,map,108440.106521,0.0
1970/01/01/01:00:01.486000,55,1,485000000,map,108403.168377,0.0
1970/01/01/01:00:01.507000,56,1,506000000,map,108323.693005,0.0
1970/01/01/01:00:01.528000,57,1,527000000,map,108417.061858,0.0
1970/01/01/01:00:01.548000,58,1,548000000,map,108315.788681,0.0
1970/01/01/01:00:01.570000,59,1,569000000,map,108255.713667,0.0
1970/01/01/01:00:01.591000,60,1,590000000,map,108298.616823,0.0
1970/01/01/01:00:01.612000,61,1,611000000,map,108129.908387,0.0
1970/01/01/01:00:01.633000,62,1,632000000,map,108278.694272,0.0
1970/01/01/01:00:01.654000,63,1,653000000,map,108130.017177,0.0
1970/01/01/01:00:01.675000,64,1,674000000,map,108275.365008,0.0
1970/01/01/01:00:01.696000,65,1,695000000,map,108338.794028,0.0
1970/01/01/01:00:01.717000,66,1,716000000,map,108280.392996,0.0
1970/01/01/01:00:01.738000,67,1,737000000,map,108133.13857,0.0
1970/01/01/01:00:01.759000,68,1,758000000,map,108233.276891,0.0
1970/01/01/01:00:01.780000,69,1,779000000,map,108037.092209,0.0
1970/01/01/01:00:01.801000,70,1,800000000,map,108244.559498,0.0
1970/01/01/01:00:01.822000,71,1,821000000,map,108238.878645,0.0
1970/01/01/01:00:01.843000,72,1,842000000,map,108332.366323,0.0
1970/01/01/01:00:01.864000,73,1,863000000,map,108269.271033,0.0
1970/01/01/01:00:01.885000,74,1,884000000,map,108294.218038,0.0
1970/01/01/01:00:01.906000,75,1,905000000,map,108178.756841,0.0
1970/01/01/01:00:01.927000,76,1,926000000,map,108210.29489,0.0
1970/01/01/01:00:01.948000,77,1,947000000,map,108383.267643,0.0
1970/01/01/01:00:01.969000,78,1,968000000,map,108192.263964,0.0
1970/01/01/01:00:01.990000,79,1,989000000,map,108305.669604,0.0
1970/01/01/01:00:02.011000,80,2,10000000,map,108181.279583,0.0
1970/01/01/01:00:02.032000,81,2,31000000,map,108330.744523,0.0
1970/01/01/01:00:02.053000,82,2,52000000,map,108234.54141,0.0
1970/01/01/01:00:02.074000,83,2,73000000,map,108216.205937,0.0
1970/01/01/01:00:02.095000,84,2,94000000,map,108203.478323,0.0
1970/01/01/01:00:02.116000,85,2,115000000,map,108255.065207,0.0
1970/01/01/01:00:02.137000,86,2,136000000,map,108144.161275,0.0
1970/01/01/01:00:02.158000,87,2,157000000,map,108219.091163,0.0
1970/01/01/01:00:02.179000,88,2,178000000,map,108441.126057,0.0
1970/01/01/01:00:02.200000,89,2,199000000,map,108115.012796,0.0
1970/01/01/01:00:02.221000,90,2,220000000,map,108022.683988,0.0
1970/01/01/01:00:02.242000,91,2,241000000,map,108139.636401,0.0
1970/01/01/01:00:02.263000,92,2,262000000,map,108126.310219,0.0
1970/01/01/01:00:02.284000,93,2,283000000,map,108292.587069,0.0
1970/01/01/01:00:02.305000,94,2,304000000,map,108251.571791,0.0
1970/01/01/01:00:02.326000,95,2,325000000,map,108270.316421,0.0
1970/01/01/01:00:02.347000,96,2,346000000,map,108189.47599,0.0
1970/01/01/01:00:02.368000,97,2,367000000,map,108141.123829,0.0
1970/01/01/01:00:02.389000,98,2,388000000,map,108029.646576,0.0
1970/01/01/01:00:02.410000,99,2,409000000,map,108154.393149,0.0
1970/01/01/01:00:02.431000,100,2,430000000,map,108309.769329,0.0
1970/01/01/01:00:02.452000,101,2,451000000,map,108317.500751,0.0
1970/01/01/01:00:02.473000,102,2,472000000,map,108274.40407,0.0
1970/01/01/01:00:02.494000,103,2,493000000,map,108090.893241,0.0
1970/01/01/01:00:02.515000,104,2,514000000,map,108126.11264,0.0
1970/01/01/01:00:02.536000,105,2,535000000,map,108209.912349,0.0
1970/01/01/01:00:02.557000,106,2,556000000,map,108223.229055,0.0
1970/01/01/01:00:02.578000,107,2,577000000,map,108151.323794,0.0
1970/01/01/01:00:02.599000,108,2,598000000,map,108102.015967,0.0
1970/01/01/01:00:02.620000,109,2,619000000,map,108086.295818,0.0
1970/01/01/01:00:02.641000,110,2,640000000,map,108362.181728,0.0
1970/01/01/01:00:02.662000,111,2,661000000,map,108034.191369,0.0
1970/01/01/01:00:02.683000,112,2,682000000,map,108022.949756,0.0
1970/01/01/01:00:02.703000,113,2,703000000,map,108282.192422,0.0
1970/01/01/01:00:02.725000,114,2,724000000,map,108192.419854,0.0
1970/01/01/01:00:02.746000,115,2,745000000,map,108276.317794,0.0
1970/01/01/01:00:02.767000,116,2,766000000,map,108198.070041,0.0
1970/01/01/01:00:02.788000,117,2,787000000,map,108270.427613,0.0
1970/01/01/01:00:02.809000,118,2,808000000,map,108172.185542,0.0
1970/01/01/01:00:02.830000,119,2,829000000,map,108336.883862,0.0
1970/01/01/01:00:02.851000,120,2,850000000,map,108198.787964,0.0
1970/01/01/01:00:02.872000,121,2,871000000,map,108057.026858,0.0
1970/01/01/01:00:02.893000,122,2,892000000,map,108216.11512,0.0
1970/01/01/01:00:02.914000,123,2,913000000,map,108232.792947,0.0
1970/01/01/01:00:02.935000,124,2,934000000,map,108175.211612,0.0
1970/01/01/01:00:02.956000,125,2,955000000,map,108115.457245,0.0
1970/01/01/01:00:02.977000,126,2,976000000,map,108164.04628,0.0
1970/01/01/01:00:02.998000,127,2,997000000,map,108285.93389,0.0
1970/01/01/01:00:03.019000,128,3,18000000,map,108102.15077,0.0
1970/01/01/01:00:03.040000,129,3,39000000,map,108197.95357,0.0
1970/01/01/01:00:03.061000,130,3,60000000,map,108107.171739,0.0
1970/01/01/01:00:03.082000,131,3,81000000,map,108144.90255,0.0
1970/01/01/01:00:03.103000,132,3,102000000,map,108032.590298,0.0
1970/01/01/01:00:03.124000,133,3,123000000,map,108004.883196,0.0
1970/01/01/01:00:03.145000,134,3,144000000,map,108230.210061,0.0
1970/01/01/01:00:03.166000,135,3,165000000,map,108298.527937,0.0
1970/01/01/01:00:03.186000,136,3,186000000,map,108184.375066,0.0
1970/01/01/01:00:03.208000,137,3,208000000,map,108017.998541,0.0
1970/01/01/01:00:03.229000,138,3,228000000,map,108145.037665,0.0
1970/01/01/01:00:03.250000,139,3,249000000,map,108143.213723,0.0
1970/01/01/01:00:03.271000,140,3,270000000,map,108126.520403,0.0
1970/01/01/01:00:03.292000,141,3,291000000,map,108152.178205,0.0
1970/01/01/01:00:03.313000,142,3,312000000,map,108186.84024,0.0
1970/01/01/01:00:03.334000,143,3,333000000,map,107974.118701,0.0
1970/01/01/01:00:03.355000,144,3,354000000,map,108076.91657,0.0
1970/01/01/01:00:03.376000,145,3,375000000,map,108304.121884,0.0
1970/01/01/01:00:03.397000,146,3,396000000,map,108234.86574,0.0
1970/01/01/01:00:03.418000,147,3,417000000,map,108150.005866,0.0
1970/01/01/01:00:03.439000,148,3,438000000,map,108148.347485,0.0
1970/01/01/01:00:03.460000,149,3,459000000,map,108176.666008,0.0
1970/01/01/01:00:03.481000,150,3,480000000,map,107959.801742,0.0
1970/01/01/01:00:03.502000,151,3,501000000,map,108230.309423,0.0
1970/01/01/01:00:03.523000,152,3,522000000,map,107995.019766,0.0
1970/01/01/01:00:03.544000,153,3,543000000,map,107980.139999,0.0
1970/01/01/01:00:03.565000,154,3,564000000,map,107893.13384,0.0
1970/01/01/01:00:03.586000,155,3,585000000,map,108023.823915,0.0
1970/01/01/01:00:03.607000,156,3,606000000,map,108227.761382,0.0
1970/01/01/01:00:03.628000,157,3,627000000,map,107982.424634,0.0
1970/01/01/01:00:03.649000,158,3,648000000,map,107955.721117,0.0
1970/01/01/01:00:03.670000,159,3,669000000,map,108030.434139,0.0
1970/01/01/01:00:03.691000,160,3,690000000,map,108086.374816,0.0
1970/01/01/01:00:03.712000,161,3,711000000,map,108013.896303,0.0
1970/01/01/01:00:03.733000,162,3,732000000,map,107909.24593,0.0
1970/01/01/01:00:03.754000,163,3,753000000,map,108251.251306,0.0
1970/01/01/01:00:03.775000,164,3,774000000,map,108293.904019,0.0
1970/01/01/01:00:03.796000,165,3,795000000,map,108081.138131,0.0
1970/01/01/01:00:03.817000,166,3,816000000,map,108043.596094,0.0
1970/01/01/01:00:03.837000,167,3,837000000,map,107990.402801,0.0
1970/01/01/01:00:03.859000,168,3,858000000,map,107814.357391,0.0
1970/01/01/01:00:03.880000,169,3,879000000,map,108067.429444,0.0
1970/01/01/01:00:03.901000,170,3,900000000,map,107960.594635,0.0
1970/01/01/01:00:03.922000,171,3,921000000,map,108009.529743,0.0
1970/01/01/01:00:03.943000,172,3,942000000,map,107998.331821,0.0
1970/01/01/01:00:03.964000,173,3,963000000,map,108107.726576,0.0
1970/01/01/01:00:03.985000,174,3,984000000,map,108107.971877,0.0
1970/01/01/01:00:04.006000,175,4,5000000,map,107896.199574,0.0
1970/01/01/01:00:04.027000,176,4,26000000,map,108048.020202,0.0
1970/01/01/01:00:04.048000,177,4,47000000,map,108110.952693,0.0
1970/01/01/01:00:04.069000,178,4,68000000,map,108057.842511,0.0
1970/01/01/01:00:04.090000,179,4,89000000,map,108162.873733,0.0
1970/01/01/01:00:04.111000,180,4,110000000,map,108006.459222,0.0
1970/01/01/01:00:04.132000,181,4,131000000,map,107944.744846,0.0
1970/01/01/01:00:04.153000,182,4,152000000,map,108179.314262,0.0
1970/01/01/01:00:04.174000,183,4,173000000,map,107974.562484,0.0
1970/01/01/01:00:04.195000,184,4,194000000,map,107929.231967,0.0
1970/01/01/01:00:04.216000,185,4,215000000,map,107949.422723,0.0
1970/01/01/01:00:04.237000,186,4,236000000,map,107955.182311,0.0
1970/01/01/01:00:04.258000,187,4,257000000,map,107979.751448,0.0
1970/01/01/01:00:04.279000,188,4,278000000,map,108058.789553,0.0
1970/01/01/01:00:04.300000,189,4,299000000,map,108170.419438,0.0
1970/01/01/01:00:04.321000,190,4,320000000,map,107941.459353,0.0
1970/01/01/01:00:04.342000,191,4,341000000,map,107935.314485,0.0
1970/01/01/01:00:04.363000,192,4,362000000,map,107921.524598,0.0
1970/01/01/01:00:04.384000,193,4,383000000,map,107903.509191,0.0
1970/01/01/01:00:04.405000,194,4,404000000,map,107947.27424,0.0
1970/01/01/01:00:04.426000,195,4,425000000,map,108111.500088,0.0
1970/01/01/01:00:04.447000,196,4,446000000,map,107984.968184,0.0
1970/01/01/01:00:04.468000,197,4,467000000,map,108002.515444,0.0
1970/01/01/01:00:04.489000,198,4,488000000,map,107902.444338,0.0
1970/01/01/01:00:04.511000,199,4,509000000,map,107994.447226,0.0
1970/01/01/01:00:04.531000,200,4,530000000,map,107983.663011,0.0
1970/01/01/01:00:04.552000,201,4,551000000,map,108078.302997,0.0
1970/01/01/01:00:04.573000,202,4,572000000,map,108042.96616,0.0
1970/01/01/01:00:04.594000,203,4,593000000,map,108162.315924,0.0
1970/01/01/01:00:04.615000,204,4,614000000,map,107769.926066,0.0
1970/01/01/01:00:04.636000,205,4,635000000,map,107943.659645,0.0
1970/01/01/01:00:04.657000,206,4,656000000,map,107887.481749,0.0
1970/01/01/01:00:04.678000,207,4,677000000,map,107822.746091,0.0
1970/01/01/01:00:04.699000,208,4,698000000,map,108106.956995,0.0
1970/01/01/01:00:04.720000,209,4,719000000,map,107983.955226,0.0
1970/01/01/01:00:04.741000,210,4,740000000,map,107918.872882,0.0
1970/01/01/01:00:04.762000,211,4,761000000,map,107938.274961,0.0
