time,.data
1970/01/01/01:00:05.146000,0.0
1970/01/01/01:00:05.147000,0.0
1970/01/01/01:00:05.165000,0.0
1970/01/01/01:00:05.187000,0.0
1970/01/01/01:00:05.207000,0.0
1970/01/01/01:00:05.226000,0.0
1970/01/01/01:00:05.246000,0.0
1970/01/01/01:00:05.266000,0.0
1970/01/01/01:00:05.286000,0.0
1970/01/01/01:00:05.308000,0.0
1970/01/01/01:00:05.325000,0.0
1970/01/01/01:00:05.346000,0.0
1970/01/01/01:00:05.367000,0.0
1970/01/01/01:00:05.385000,0.0
1970/01/01/01:00:05.407000,0.0
1970/01/01/01:00:05.434000,0.0
1970/01/01/01:00:05.446000,0.0
1970/01/01/01:00:05.466000,0.0
1970/01/01/01:00:05.487000,0.0
1970/01/01/01:00:05.505000,0.0
1970/01/01/01:00:05.526000,0.0
1970/01/01/01:00:05.545000,0.0
1970/01/01/01:00:05.567000,0.0
1970/01/01/01:00:05.585000,0.0
1970/01/01/01:00:05.606000,0.0
1970/01/01/01:00:05.626000,0.0
1970/01/01/01:00:05.646000,0.0
1970/01/01/01:00:05.666000,0.0
1970/01/01/01:00:05.686000,0.0
1970/01/01/01:00:05.705000,0.0
1970/01/01/01:00:05.726000,0.0
1970/01/01/01:00:05.746000,0.0
1970/01/01/01:00:05.766000,0.0
1970/01/01/01:00:05.787000,0.0
1970/01/01/01:00:05.805000,0.0
1970/01/01/01:00:05.826000,0.0
1970/01/01/01:00:05.846000,0.0
1970/01/01/01:00:05.866000,0.0
1970/01/01/01:00:05.885000,0.0
1970/01/01/01:00:05.906000,0.0
1970/01/01/01:00:05.926000,0.0
1970/01/01/01:00:05.946000,0.0
1970/01/01/01:00:05.965000,0.0
1970/01/01/01:00:05.986000,0.0
1970/01/01/01:00:06.006000,0.0
1970/01/01/01:00:06.026000,0.0
1970/01/01/01:00:06.045000,0.0
1970/01/01/01:00:06.065000,0.0
1970/01/01/01:00:06.087000,0.0
1970/01/01/01:00:06.106000,0.0
1970/01/01/01:00:06.126000,0.0
1970/01/01/01:00:06.146000,0.0
1970/01/01/01:00:06.166000,0.0
1970/01/01/01:00:06.186000,0.0
1970/01/01/01:00:06.205000,0.0
1970/01/01/01:00:06.226000,0.0
1970/01/01/01:00:06.245000,0.0
1970/01/01/01:00:06.266000,0.0
1970/01/01/01:00:06.285000,0.0
1970/01/01/01:00:06.306000,0.0
1970/01/01/01:00:06.325000,0.0
1970/01/01/01:00:06.348000,0.0
1970/01/01/01:00:06.366000,0.0
1970/01/01/01:00:06.386000,0.0
1970/01/01/01:00:06.406000,0.0
1970/01/01/01:00:06.432000,0.0
1970/01/01/01:00:06.445000,0.0
1970/01/01/01:00:06.465000,0.0
1970/01/01/01:00:06.485000,0.0
1970/01/01/01:00:06.506000,0.0
1970/01/01/01:00:06.526000,0.0
1970/01/01/01:00:06.546000,0.0
1970/01/01/01:00:06.565000,0.0
1970/01/01/01:00:06.586000,0.0
1970/01/01/01:00:06.606000,0.0
1970/01/01/01:00:06.625000,0.0
1970/01/01/01:00:06.645000,0.0
1970/01/01/01:00:06.666000,0.0
1970/01/01/01:00:06.686000,0.0
1970/01/01/01:00:06.706000,0.0
1970/01/01/01:00:06.726000,0.0
1970/01/01/01:00:06.746000,0.0
1970/01/01/01:00:06.765000,0.0
1970/01/01/01:00:06.786000,0.0
1970/01/01/01:00:06.806000,0.0
1970/01/01/01:00:06.826000,0.0
1970/01/01/01:00:06.847000,0.0
1970/01/01/01:00:06.866000,0.0
1970/01/01/01:00:06.886000,0.0
1970/01/01/01:00:06.907000,0.0
1970/01/01/01:00:06.925000,0.0
1970/01/01/01:00:06.946000,0.0
1970/01/01/01:00:06.965000,0.0
1970/01/01/01:00:06.986000,0.0
1970/01/01/01:00:07.006000,0.0
1970/01/01/01:00:07.025000,0.0
1970/01/01/01:00:07.046000,0.0
1970/01/01/01:00:07.066000,0.0
1970/01/01/01:00:07.086000,0.0
1970/01/01/01:00:07.106000,0.0
1970/01/01/01:00:07.126000,0.0
1970/01/01/01:00:07.146000,0.0
1970/01/01/01:00:07.166000,0.0
