time,.data
1970/01/01/01:00:05.177000,0.0
1970/01/01/01:00:05.191000,0.0
1970/01/01/01:00:05.212000,0.0
1970/01/01/01:00:05.231000,0.0
1970/01/01/01:00:05.250000,0.0
1970/01/01/01:00:05.270000,0.0
1970/01/01/01:00:05.294000,0.0
1970/01/01/01:00:05.311000,0.0
1970/01/01/01:00:05.330000,0.0
1970/01/01/01:00:05.350000,0.0
1970/01/01/01:00:05.371000,0.0
1970/01/01/01:00:05.390000,0.0
1970/01/01/01:00:05.411000,0.0
1970/01/01/01:00:05.432000,0.0
1970/01/01/01:00:05.450000,0.0
1970/01/01/01:00:05.471000,0.0
1970/01/01/01:00:05.491000,0.0
1970/01/01/01:00:05.510000,0.0
1970/01/01/01:00:05.531000,0.0
1970/01/01/01:00:05.551000,0.0
1970/01/01/01:00:05.570000,0.0
1970/01/01/01:00:05.591000,0.0
1970/01/01/01:00:05.611000,0.0
1970/01/01/01:00:05.631000,0.0
1970/01/01/01:00:05.650000,0.0
1970/01/01/01:00:05.671000,0.0
1970/01/01/01:00:05.691000,0.0
1970/01/01/01:00:05.711000,0.0
1970/01/01/01:00:05.731000,0.0
1970/01/01/01:00:05.751000,0.0
1970/01/01/01:00:05.770000,0.0
1970/01/01/01:00:05.791000,0.0
1970/01/01/01:00:05.810000,0.0
1970/01/01/01:00:05.831000,0.0
1970/01/01/01:00:05.851000,0.0
1970/01/01/01:00:05.870000,0.0
1970/01/01/01:00:05.890000,0.0
1970/01/01/01:00:05.911000,0.0
1970/01/01/01:00:05.930000,0.0
1970/01/01/01:00:05.951000,0.0
1970/01/01/01:00:05.970000,0.0
1970/01/01/01:00:05.991000,0.0
1970/01/01/01:00:06.011000,0.0
1970/01/01/01:00:06.032000,0.0
1970/01/01/01:00:06.050000,0.0
1970/01/01/01:00:06.071000,0.0
1970/01/01/01:00:06.091000,0.0
1970/01/01/01:00:06.111000,0.0
1970/01/01/01:00:06.130000,0.0
1970/01/01/01:00:06.150000,0.0
1970/01/01/01:00:06.170000,0.0
1970/01/01/01:00:06.192000,0.0
1970/01/01/01:00:06.211000,0.0
1970/01/01/01:00:06.231000,0.0
1970/01/01/01:00:06.251000,0.0
1970/01/01/01:00:06.271000,0.0
1970/01/01/01:00:06.290000,0.0
1970/01/01/01:00:06.311000,0.0
1970/01/01/01:00:06.332000,0.0
1970/01/01/01:00:06.351000,0.0
1970/01/01/01:00:06.370000,0.0
1970/01/01/01:00:06.391000,0.0
1970/01/01/01:00:06.411000,0.0
1970/01/01/01:00:06.431000,0.0
1970/01/01/01:00:06.450000,0.0
1970/01/01/01:00:06.472000,0.0
1970/01/01/01:00:06.491000,0.0
1970/01/01/01:00:06.511000,0.0
1970/01/01/01:00:06.531000,0.0
1970/01/01/01:00:06.551000,0.0
1970/01/01/01:00:06.571000,0.0
1970/01/01/01:00:06.591000,0.0
1970/01/01/01:00:06.610000,0.0
1970/01/01/01:00:06.631000,0.0
1970/01/01/01:00:06.650000,0.0
1970/01/01/01:00:06.671000,0.0
1970/01/01/01:00:06.691000,0.0
1970/01/01/01:00:06.711000,0.0
1970/01/01/01:00:06.731000,0.0
1970/01/01/01:00:06.751000,0.0
1970/01/01/01:00:06.770000,0.0
1970/01/01/01:00:06.792000,0.0
1970/01/01/01:00:06.811000,0.0
1970/01/01/01:00:06.831000,0.0
1970/01/01/01:00:06.851000,0.0
1970/01/01/01:00:06.870000,0.0
1970/01/01/01:00:06.890000,0.0
1970/01/01/01:00:06.913000,0.0
1970/01/01/01:00:06.931000,0.0
1970/01/01/01:00:06.951000,0.0
1970/01/01/01:00:06.971000,0.0
1970/01/01/01:00:06.991000,0.0
1970/01/01/01:00:07.011000,0.0
1970/01/01/01:00:07.030000,0.0
1970/01/01/01:00:07.051000,0.0
1970/01/01/01:00:07.071000,0.0
1970/01/01/01:00:07.090000,0.0
1970/01/01/01:00:07.111000,0.0
1970/01/01/01:00:07.131000,0.0
1970/01/01/01:00:07.151000,0.0
1970/01/01/01:00:07.171000,0.0
1970/01/01/01:00:07.191000,0.0
1970/01/01/01:00:07.211000,0.0
1970/01/01/01:00:07.231000,0.0
1970/01/01/01:00:07.250000,0.0
1970/01/01/01:00:07.271000,0.0
1970/01/01/01:00:07.291000,0.0
1970/01/01/01:00:07.311000,0.0
1970/01/01/01:00:07.330000,0.0
1970/01/01/01:00:07.351000,0.0
1970/01/01/01:00:07.371000,0.0
1970/01/01/01:00:07.390000,0.0
1970/01/01/01:00:07.413000,0.0
1970/01/01/01:00:07.430000,0.0
1970/01/01/01:00:07.450000,0.0
1970/01/01/01:00:07.471000,0.0
1970/01/01/01:00:07.492000,0.0
1970/01/01/01:00:07.511000,0.0
1970/01/01/01:00:07.531000,0.0
1970/01/01/01:00:07.551000,0.0
1970/01/01/01:00:07.574000,0.0
1970/01/01/01:00:07.590000,0.0
1970/01/01/01:00:07.611000,0.0
1970/01/01/01:00:07.631000,0.0
1970/01/01/01:00:07.653000,0.0
1970/01/01/01:00:07.671000,0.0
1970/01/01/01:00:07.690000,0.0
1970/01/01/01:00:07.711000,0.0
1970/01/01/01:00:07.732000,0.0
1970/01/01/01:00:07.751000,0.0
1970/01/01/01:00:07.770000,0.0
1970/01/01/01:00:07.792000,0.0
1970/01/01/01:00:07.810000,0.0
1970/01/01/01:00:07.830000,0.0
1970/01/01/01:00:07.850000,0.0
1970/01/01/01:00:07.871000,0.0
1970/01/01/01:00:07.892000,0.0
1970/01/01/01:00:07.911000,0.0
1970/01/01/01:00:07.931000,0.0
1970/01/01/01:00:07.951000,0.0
1970/01/01/01:00:07.971000,0.0
1970/01/01/01:00:07.990000,0.0
1970/01/01/01:00:08.011000,0.0
1970/01/01/01:00:08.031000,0.0
1970/01/01/01:00:08.051000,0.0
1970/01/01/01:00:08.070000,0.0
1970/01/01/01:00:08.091000,0.0
1970/01/01/01:00:08.111000,0.0
1970/01/01/01:00:08.131000,0.0
1970/01/01/01:00:08.150000,0.0
1970/01/01/01:00:08.170000,0.0
1970/01/01/01:00:08.191000,0.0
1970/01/01/01:00:08.211000,0.0
1970/01/01/01:00:08.230000,0.0
1970/01/01/01:00:08.251000,0.0
1970/01/01/01:00:08.271000,0.0
1970/01/01/01:00:08.290000,0.0
1970/01/01/01:00:08.310000,0.0
1970/01/01/01:00:08.330000,0.0
1970/01/01/01:00:08.351000,0.0
1970/01/01/01:00:08.370000,0.0
1970/01/01/01:00:08.392000,0.0
1970/01/01/01:00:08.410000,0.0
1970/01/01/01:00:08.431000,0.0
1970/01/01/01:00:08.451000,0.0
1970/01/01/01:00:08.470000,0.0
1970/01/01/01:00:08.491000,0.0
1970/01/01/01:00:08.510000,0.0
1970/01/01/01:00:08.531000,0.0
1970/01/01/01:00:08.550000,0.0
1970/01/01/01:00:08.570000,0.0
1970/01/01/01:00:08.591000,0.0
1970/01/01/01:00:08.610000,0.0
1970/01/01/01:00:08.631000,0.0
1970/01/01/01:00:08.651000,0.0
1970/01/01/01:00:08.670000,0.0
1970/01/01/01:00:08.691000,0.0
1970/01/01/01:00:08.711000,0.0
1970/01/01/01:00:08.731000,0.0
1970/01/01/01:00:08.751000,0.0
1970/01/01/01:00:08.771000,0.0
1970/01/01/01:00:08.791000,0.0
1970/01/01/01:00:08.810000,0.0
1970/01/01/01:00:08.830000,0.0
1970/01/01/01:00:08.850000,0.0
1970/01/01/01:00:08.871000,0.0
1970/01/01/01:00:08.891000,0.0
1970/01/01/01:00:08.911000,0.0
1970/01/01/01:00:08.934000,0.0
1970/01/01/01:00:08.951000,0.0
1970/01/01/01:00:08.970000,0.0
1970/01/01/01:00:08.991000,0.0
1970/01/01/01:00:09.015000,0.0
1970/01/01/01:00:09.031000,0.0
1970/01/01/01:00:09.051000,0.0
1970/01/01/01:00:09.071000,0.0
1970/01/01/01:00:09.091000,0.0
1970/01/01/01:00:09.112000,0.0
1970/01/01/01:00:09.132000,0.0
1970/01/01/01:00:09.151000,0.0
1970/01/01/01:00:09.172000,0.0
1970/01/01/01:00:09.190000,0.0
1970/01/01/01:00:09.212000,0.0
1970/01/01/01:00:09.232000,0.0
1970/01/01/01:00:09.251000,0.0
1970/01/01/01:00:09.270000,0.0
1970/01/01/01:00:09.292000,0.0
1970/01/01/01:00:09.311000,0.0
1970/01/01/01:00:09.331000,0.0
1970/01/01/01:00:09.350000,0.0
1970/01/01/01:00:09.371000,0.0
1970/01/01/01:00:09.391000,0.0
1970/01/01/01:00:09.411000,0.0
1970/01/01/01:00:09.430000,0.0
1970/01/01/01:00:09.451000,0.0
1970/01/01/01:00:09.470000,0.0
1970/01/01/01:00:09.491000,0.0
1970/01/01/01:00:09.512000,0.0
1970/01/01/01:00:09.530000,0.0
1970/01/01/01:00:09.551000,0.0
1970/01/01/01:00:09.570000,0.0
1970/01/01/01:00:09.591000,0.0
1970/01/01/01:00:09.611000,0.0
