time,.data
1970/01/01/01:00:05.360000,0.0
1970/01/01/01:00:05.377000,0.0
1970/01/01/01:00:05.396000,0.0
1970/01/01/01:00:05.417000,0.0
1970/01/01/01:00:05.436000,0.0
1970/01/01/01:00:05.457000,0.0
1970/01/01/01:00:05.477000,0.0
1970/01/01/01:00:05.496000,0.0
1970/01/01/01:00:05.517000,0.0
1970/01/01/01:00:05.537000,0.0
1970/01/01/01:00:05.557000,0.0
1970/01/01/01:00:05.576000,0.0
1970/01/01/01:00:05.597000,0.0
1970/01/01/01:00:05.616000,0.0
1970/01/01/01:00:05.637000,0.0
1970/01/01/01:00:05.657000,0.0
1970/01/01/01:00:05.678000,0.0
1970/01/01/01:00:05.696000,0.0
1970/01/01/01:00:05.717000,0.0
1970/01/01/01:00:05.737000,0.0
1970/01/01/01:00:05.766000,0.0
1970/01/01/01:00:05.776000,0.0
1970/01/01/01:00:05.797000,0.0
1970/01/01/01:00:05.816000,0.0
1970/01/01/01:00:05.837000,0.0
1970/01/01/01:00:05.860000,0.0
1970/01/01/01:00:05.876000,0.0
1970/01/01/01:00:05.900000,0.0
1970/01/01/01:00:05.916000,0.0
1970/01/01/01:00:05.936000,0.0
1970/01/01/01:00:05.957000,0.0
1970/01/01/01:00:05.976000,0.0
1970/01/01/01:00:05.996000,0.0
1970/01/01/01:00:06.017000,0.0
1970/01/01/01:00:06.037000,0.0
1970/01/01/01:00:06.057000,0.0
1970/01/01/01:00:06.077000,0.0
1970/01/01/01:00:06.097000,0.0
1970/01/01/01:00:06.116000,0.0
1970/01/01/01:00:06.137000,0.0
1970/01/01/01:00:06.157000,0.0
1970/01/01/01:00:06.177000,0.0
1970/01/01/01:00:06.197000,0.0
1970/01/01/01:00:06.217000,0.0
1970/01/01/01:00:06.236000,0.0
1970/01/01/01:00:06.257000,0.0
1970/01/01/01:00:06.276000,0.0
1970/01/01/01:00:06.296000,0.0
1970/01/01/01:00:06.316000,0.0
1970/01/01/01:00:06.337000,0.0
1970/01/01/01:00:06.356000,0.0
1970/01/01/01:00:06.376000,0.0
1970/01/01/01:00:06.397000,0.0
1970/01/01/01:00:06.416000,0.0
1970/01/01/01:00:06.437000,0.0
1970/01/01/01:00:06.457000,0.0
1970/01/01/01:00:06.477000,0.0
1970/01/01/01:00:06.496000,0.0
1970/01/01/01:00:06.516000,0.0
1970/01/01/01:00:06.537000,0.0
1970/01/01/01:00:06.557000,0.0
1970/01/01/01:00:06.577000,0.0
1970/01/01/01:00:06.596000,0.0
1970/01/01/01:00:06.617000,0.0
1970/01/01/01:00:06.637000,0.0
1970/01/01/01:00:06.656000,0.0
1970/01/01/01:00:06.677000,0.0
1970/01/01/01:00:06.697000,0.0
1970/01/01/01:00:06.717000,0.0
1970/01/01/01:00:06.736000,0.0
